url	dir	city	term	cost_dvig	point1	point2	point3	dist_chelny	dist_krasnodar	dist_moscow	latitude	longitude	text1	text2	text3	text4	img1	img2
kostroma	dostavka/kostroma	Кострома	2-3	6620	г. Кострома, ул. Деминская, д. 2 Б			1012	1691	345	57,763717	40,994083						
krasnodar	dostavka/krasnodar	Краснодар	3-5	6365	350072, Краснодар, ул. Автомобильная, д. 3			1927		1342	45,092874	38,99389						
krasnoyarsk	dostavka/krasnoyarsk	Красноярск	7-11	11550	Красноярский край, г.Красноярск, Северное шоссе, 5Г стр 26			3119	4767	4173	56,079578	92,944367						
kurgan	dostavka/kurgan	Курган	5-8	8490	Курганская обл., г.Курган, ул. Омская, д. 146			998	2680	2052	55,478659	65,378731						
kursk	dostavka/kursk	Курск	6-7		Курская обл., г.Курск, ул. Литовская, д. 12А			1492	1060	525	51,703382	36,169946						
lipetsk	dostavka/lipetsk	Липецк	2-3	4488	Липецкая обл, г. Липецк, ул. Ангарская, д. 30			1180	950	463	52,598501	39,459852						
magadan	dostavka/magadan	Магадан	25-30		Южно-Сахалинск, Сахалинская область, ул. Железнодорожная, д. 170Б/1			9283	10932	10337	59,550167	150,83653						
magnitogorsk	dostavka/magnitogorsk	Магнитогорск	6-7	8490	455000, г. Магнитогорск, ул. Энергетиков 2/1			637	2321	1691	53,434801	58,937134						
majkop	dostavka/majkop	Майкоп	8		385006, Майкоп, ул. Промышленная, д. 58Ж			1934	127	1399	44,631778	40,082667						
miass	dostavka/miass	Миасс	5-8	7640	Челябинская обл., г. Миасс ул. Академика Павлова, д.8			635	2319	1689	55,041091	60,105532						
moskva	dostavka/moskva	Москва	1-2	3500	Москва, Волгоградский пр-кт, 42, корпус 23			1058	1342									
murmansk	dostavka/murmansk	Мурманск	4-5	7640	Мурманская обл., г. Мурманск, ул. Домостроительная, д.16/1			2531	3209	1865	68,99291	33,131745						
murom	dostavka/murom	Муром	7-8		Владимирская обл, г. Муром, Владимирское шоссе, д. 5			814	1408	311	55,586461	42,011268						
